genus,species,species_code,species_code_type
Arctostaphylos,glandulosa,ARGL3,USDA Plants
Arctostaphylos,glandulosa,ARGLA,USDA Plants
Arctostaphylos,glandulosa,ARGLA2,USDA Plants
Arctostaphylos,glandulosa,ARGLC,USDA Plants
Arctostaphylos,glandulosa,ARGLC2,USDA Plants
Arctostaphylos,glandulosa,ARGLC3,USDA Plants
Arctostaphylos,glandulosa,ARGLC4,USDA Plants
Arctostaphylos,glandulosa,ARGLG3,USDA Plants
Arctostaphylos,glandulosa,ARGLG4,USDA Plants
Arctostaphylos,glandulosa,ARGLH,USDA Plants
Arctostaphylos,glandulosa,ARGLH2,USDA Plants
Arctostaphylos,glandulosa,ARGLM,USDA Plants
Arctostaphylos,glandulosa,ARGLM2,USDA Plants
Arctostaphylos,glandulosa,ARGLZ,USDA Plants
Arctostaphylos,glandulosa,ARGLZ2,USDA Plants
Baccharis,pilularis,BAPIC,USDA Plants
Baccharis,pilularis,BAPIC2,USDA Plants
Baccharis,pilularis,BAPI,USDA Plants
Quercus,agrifolia,QUAG,USDA Plants
Quercus,agrifolia,QUAGA,USDA Plants
Quercus,agrifolia,QUAGO,USDA Plants
Abies,concolor,ABCO,USDA Plants
Abies,concolor,ABCOC,USDA Plants
Abies,concolor,ABCOL,USDA Plants
Adenostoma,fasciculatum,ADFA,USDA Plants
Adenostoma,fasciculatum,ADFAF,USDA Plants
Adenostoma,fasciculatum,ADFAO,USDA Plants
Ceanothus,megacarpus,CEMEI,USDA Plants
Ceanothus,megacarpus,CEMEI2,USDA Plants
Ceanothus,megacarpus,CEMEM2,USDA Plants
Ceanothus,megacarpus,CEMEP,USDA Plants
Ceanothus,megacarpus,CEME,USDA Plants
Ceanothus,spinosus,CESPP,USDA Plants
Ceanothus,spinosus,CESP,USDA Plants
Heteromeles,arbutifolia,HEAR5,USDA Plants
Heteromeles,arbutifolia,HEARA2,USDA Plants
Heteromeles,arbutifolia,HEARC2,USDA Plants
Heteromeles,arbutifolia,HEARM,USDA Plants
Pinus,lambertiana,PILA,USDA Plants
Pinus,ponderosa,PIPO,USDA Plants
Pinus,ponderosa,PIPOA,USDA Plants
Pinus,ponderosa,PIPOA2,USDA Plants
Pinus,ponderosa,PIPOB,USDA Plants
Pinus,ponderosa,PIPOB2,USDA Plants
Pinus,ponderosa,PIPOB3,USDA Plants
Pinus,ponderosa,PIPOC,USDA Plants
Pinus,ponderosa,PIPOJ,USDA Plants
Pinus,ponderosa,PIPOP,USDA Plants
Pinus,ponderosa,PIPOP2,USDA Plants
Pinus,ponderosa,PIPOS,USDA Plants
Pinus,ponderosa,PIPOS2,USDA Plants
Pinus,ponderosa,PIPOW,USDA Plants
Pinus,ponderosa,PIPOW2,USDA Plants
Quercus,douglasii,QUDO,USDA Plants
Quercus,lobata,QULO,USDA Plants
Quercus,lobata,QULOA,USDA Plants
Quercus,lobata,QULOI,USDA Plants
Quercus,lobata,QULOT,USDA Plants
Quercus,lobata,QULOW,USDA Plants
Salvia,leucophylla,SALE3,USDA Plants
Umbellularia,californica,UMCA,USDA Plants
Umbellularia,californica,UMCAC,USDA Plants
Umbellularia,californica,UMCAF,USDA Plants
Bambusa,beecheyana,BABE2,USDA Plants
Quercus,rubra,QURU,USDA Plants
Quercus,rubra,QURUA,USDA Plants
Quercus,rubra,QURUB,USDA Plants
Quercus,rubra,QURUR,USDA Plants
Quercus,rubra,QURUT,USDA Plants
Acer,rubrum,ACRU,USDA Plants
Acer,rubrum,ACRUD,USDA Plants
Acer,rubrum,ACRUD2,USDA Plants
Acer,rubrum,ACRUR,USDA Plants
Acer,rubrum,ACRUT,USDA Plants
Acer,rubrum,ACRUT2,USDA Plants
Acer,rubrum,ACRUT3,USDA Plants
Bambusa,tuldoides,BATU2,USDA Plants
Jacaranda,mimosifolia,JAMI,USDA Plants
Magnolia,grandiflora,MAGR4,USDA Plants
Melaleuca,linariifolia,MELI7,USDA Plants
Podocarpus,gracilior,NA,NA
Salix,babylonica,SABA,USDA Plants
Salix,babylonica,SABA17,USDA Plants
Salix,babylonica,SABA2,USDA Plants
Taxodium,mucronatum,TAMU,USDA Plants
Agave,attenuata,AGAT2,USDA Plants
Lagerstroemia,indica,LAIN,USDA Plants
Quercus,virginana,NA,NA
Betula,lenta,BELE,USDA Plants
Betula,lenta,BELEU,USDA Plants
Betula,lenta,BELEU2,USDA Plants
Betula,papyrifera,BEPA,USDA Plants
Betula,papyrifera,BEPAC,USDA Plants
Betula,papyrifera,BEPAC2,USDA Plants
Betula,papyrifera,BEPAE,USDA Plants
Betula,papyrifera,BEPAH,USDA Plants
Betula,papyrifera,BEPAH2,USDA Plants
Betula,papyrifera,BEPAK,USDA Plants
Betula,papyrifera,BEPAM,USDA Plants
Betula,papyrifera,BEPAM2,USDA Plants
Betula,papyrifera,BEPAN,USDA Plants
Betula,papyrifera,BEPAO,USDA Plants
Betula,papyrifera,BEPAO2,USDA Plants
Betula,papyrifera,BEPAP,USDA Plants
Betula,papyrifera,BEPAP2,USDA Plants
Betula,papyrifera,BEPAS,USDA Plants
Cedrus,deodara,CEDE2,USDA Plants
Chorisia,insignis,CHIN22,USDA Plants
Chorisia,speciosa,CHSP13,USDA Plants
Fagus,grandifolia,FAGR,USDA Plants
Fagus,grandifolia,FAGRC,USDA Plants
Fagus,grandifolia,FAGRH,USDA Plants
Puya,venusta,NA,NA
Quercus,ilex,QUIL2,USDA Plants
Quercus,robur,QURO2,USDA Plants
Quercus,robur,QUROF,USDA Plants
Quercus,suber,QUSU5,USDA Plants
Tsuga,canadensis,TSCA,USDA Plants
Aloe,arborescens,ALAR8,USDA Plants
Aloe,arborescens flower,NA,NA
Aloe,bainesii,tro-18402257,ThePlantList
Beaucarnea,recurvata,BERE4,USDA Plants
Brachychiton,discolor,kew-2681196,ThePlantList
Brachychiton,rupestris,kew-2681229,ThePlantList
Caesalpinia,cacalaco,ild-10989,NA
Cassia,leptophylla,CALE49,USDA Plants
Cedrus,atlantica,kew-2707315,ThePlantList
Ficus,craterostoma,kew-2810083,ThePlantList
Ficus,macrophylla f. columnaris,FIMA,USDA Plants
Ficus,thonningii,FITH2,USDA Plants
Macadamia,integrifolia,MAIN8,USDA Plants
Peltophorum,africanum,ild-41493,ThePlantList
Phyllostachys,vivax,PHVI19,USDA Plants
Pinus,strobus,PIST,USDA Plants
Pinus,strobus,PISTM,USDA Plants
Pyllostachys,vivax,PHVI19,USDA Plants
Tipuana,tipu,TITI2,USDA Plants
Unknown,Unknown,NA,NA
Acacia,caven,ACCA35,USDA Plants
Acacia,visco,ACVI10,USDA Plants
Acer,paxii,kew-2616195,ThePlantList
Acer,pensylvanicum,ACPE,USDA Plants
Avena,fatua,AVFA,USDA Plants
Avena,fatua,AVFAG,USDA Plants
Avena,fatua,AVFAS,USDA Plants
Avena,fatua,AVFAV,USDA Plants
Bromus,diandrus,BRDI3,USDA Plants
Bromus,diandrus,BRDID2,USDA Plants
Bromus,diandrus,BRDIR,USDA Plants
Bromus,diandrus,BRDIR2,USDA Plants
Calodendrum,capense,CACA88,USDA Plants
Casimiroa,edulis,CAED6,USDA Plants
Citharexylum,montevidense,kew-41261,ThePlantList
Ehretia,austin-smithii,kew-2784663,ThePlantList
Eucalyptus,ficifolia,EUFI81,USDA Plants
Eucalyptus,kartzoffiana,EUKA2,USDA Plants
Eucalyptus,maculata,EUMA23,USDA Plants
Eucalyptus,saligna,EUSA,USDA Plants
Fagus,sylvatica 'atropurpurea',FASY,USDA Plants
Ficus,platypoda,kew-2811762,ThePlantList
Juniperus,chinensis,JUCH4,USDA Plants
Juniperus,chinensis,JUCHS2,USDA Plants
Melateuca,lanceolata,MELA13,USDA Plants
Olea,africana,OLAF,USDA Plants
Peltophorum,dubium,ild-14687,ThePlantList
Phyllostachys,aurea,PHAU8,USDA Plants
Prunus,serotina,PRSE2,USDA Plants
Prunus,serotina,PRSEA,USDA Plants
Prunus,serotina,PRSEC,USDA Plants
Prunus,serotina,PRSEE,USDA Plants
Prunus,serotina,PRSEE2,USDA Plants
Prunus,serotina,PRSEH,USDA Plants
Prunus,serotina,PRSER2,USDA Plants
Prunus,serotina,PRSES,USDA Plants
Prunus,serotina,PRSES2,USDA Plants
Prunus,serotina,PRSEV,USDA Plants
Rubus,occidentalis,RUOC,USDA Plants
Rubus,occidentalis,RUOCL2,USDA Plants
Rubus,occidentalis,RUOCP2,USDA Plants
Uvularia,sessifolia,UVSE,USDA Plants
Caesalpina,cacalaco,NA,NA
Cedrus,atlantica 'glauca',NAkew-2707315,ThePlantList
Cercidium,pennisulare,PAFL6,USDA Plants
Eucalyptus,rudis,EURU2,USDA Plants
Eucalyptus,rudius,EURU2,USDA Plants
Ficus,socotrana,kew-2812752,ThePlantList
Gasteria,acinacifolia,kew-307675,ThePlantList
Ginkgo,biloba,GIBI2,USDA Plants
Ginko,biloba,GIBI2,USDA Plants
Hetrosideros,excelsa,kew-126408,ThePlantList
Metrosideros,excelsa,kew-126408,ThePlantList
Ombu,tree,NA,NA
Phytolacca,dioica,kew-2562822,ThePlantList
Portulacaria,afra,POAF,USDA Plants
Portulacaria,afra 'Low Form',POAF,USDA Plants
Portulacaria,afra 'Variegata',POAF,USDA Plants
Prosopis,articulata,PRAR4,USDA Plants
